0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:173056,31:0.691273533959,32:1.0923013143,33:60.608,34:23.072,35:1.53352073448,36:1.9196273471,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:174080,31:0.691273533959,32:1.10086621612,33:60.608,34:23.072,35:1.53352073448,36:1.9196273471,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:189440,31:0.691273533959,32:1.13149000151,33:60.608,34:23.072,35:1.52504,36:2.04098133333,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:169984,31:0.691273533959,32:1.08054442216,33:60.608,34:23.072,35:1.50981963781,36:1.8900821424,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:171008,31:0.691273533959,32:1.08449120118,33:60.608,34:23.072,35:1.50981963781,36:1.8900821424,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:166912,31:0.691273533959,32:1.06409421222,33:60.608,34:23.072,35:1.50263095189,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:167936,31:0.691273533959,32:1.0719860589,33:60.608,34:23.072,35:1.50263095189,36:1.86053693769,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:168960,31:0.691273533959,32:1.0719860589,33:60.608,34:23.072,35:1.50263095189,36:1.86053693769,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:163840,31:0.691273533959,32:1.04680713454,33:60.608,34:23.072,35:1.49528072263,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:164864,31:0.691273533959,32:1.04680713454,33:60.608,34:23.072,35:1.49528072263,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:165888,31:0.691273533959,32:1.05545128099,33:60.608,34:23.072,35:1.49528072263,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:161792,31:0.691273533959,32:1.02951838515,33:60.608,34:23.072,35:1.47104701762,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:162816,31:0.691273533959,32:1.03816336097,33:60.608,34:23.072,35:1.47104701762,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:158720,31:0.585933777253,32:1.36782591067,33:60.608,34:23.072,35:1.44681331261,36:1.76655548536,37:351.24,38:126.303
