ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
27,27,27,24,24,29,27,35,35,35,26
26,26,26,25,25,22,26,35,35,35,27
31,31,31,29,31,28,31,35,35,35,31
27,27,27,27,26,20,27,36,36,36,27
24,24,24,24,27,23,24,38,38,38,24
27,27,27,27,28,26,27,39,39,39,27
21,21,21,21,22,25,22,39,39,39,21
26,26,26,25,27,26,26,39,39,39,26
26,26,26,25,18,24,26,39,39,39,26
25,25,25,25,26,22,25,39,39,39,25
22,22,22,19,19,23,22,39,39,39,21
28,28,28,29,29,23,28,38,38,38,28
19,19,19,20,19,18,17,40,40,40,19
26,26,26,24,23,26,26,38,38,38,26
23,23,23,23,22,26,23,39,39,39,23
26,26,26,26,27,25,26,39,39,39,26
30,30,30,30,32,27,30,39,39,39,30
23,23,23,22,20,24,24,39,39,39,23
23,23,23,24,27,23,23,39,39,39,23
23,23,23,22,23,23,23,39,39,39,23
28,28,28,29,28,26,28,38,38,38,28
30,30,30,32,33,29,30,40,40,40,29
30,30,30,29,28,23,30,38,38,38,30
31,31,31,32,33,23,31,39,39,39,31
26,26,26,26,26,20,25,39,39,39,26
20,20,20,21,22,20,20,39,39,39,22
22,22,22,21,24,20,22,39,39,39,22
24,24,24,25,21,27,23,39,39,39,24
20,20,20,18,18,25,20,39,39,39,20
28,28,28,27,25,25,28,38,38,38,28
26,26,26,25,25,20,26,40,40,40,26
26,26,26,26,27,26,26,38,38,38,27
20,20,20,22,23,23,20,39,39,39,20
23,23,23,24,24,24,23,39,39,39,23
27,27,27,29,28,22,27,39,39,39,27
30,30,30,30,33,27,30,39,39,39,30
25,25,25,26,25,28,24,39,39,39,25
31,31,31,31,34,26,31,39,39,39,31
23,23,23,24,27,30,23,38,38,38,23
22,22,22,25,25,27,22,40,40,40,22
21,21,21,23,26,21,20,38,38,38,21
24,24,24,27,24,25,24,39,39,39,24
27,27,27,27,28,20,27,39,39,39,27
28,28,28,28,28,22,27,39,39,39,28
21,21,21,21,24,26,21,39,39,39,21
26,26,26,25,26,23,26,39,39,39,26
27,27,27,29,30,34,26,39,39,39,27
28,28,28,27,29,28,28,38,38,38,28
23,23,23,23,20,24,23,40,40,40,24
25,25,25,23,26,26,25,38,38,38,25
22,22,22,23,22,35,22,39,39,39,22
22,22,22,21,23,28,21,39,39,39,22
26,26,26,26,25,26,26,39,39,39,26
22,22,22,21,25,24,22,39,39,39,22
24,24,24,24,21,22,23,39,39,39,24
28,28,28,26,26,28,28,39,39,39,27
25,25,25,26,25,29,25,38,38,38,25
26,26,26,25,25,26,26,40,40,40,26
21,21,21,22,22,22,21,38,38,38,21
30,30,30,29,25,30,30,39,39,39,30
26,26,26,26,26,30,26,39,39,39,26
29,29,29,28,30,29,29,39,39,39,29
22,22,22,22,24,27,22,39,39,39,22
29,29,29,29,33,29,29,39,39,39,29
25,25,25,25,26,24,25,39,39,39,25
21,21,21,22,21,27,21,38,38,38,21
27,27,27,28,28,30,27,40,40,40,27
35,35,35,35,33,25,35,38,38,38,35
24,24,24,24,24,25,25,39,39,39,24
27,27,27,26,26,23,26,38,38,38,28
28,28,28,27,25,25,28,37,37,37,28
